episode,epsilon_is,push_p10_is,push_p10_nois,push_p20_is,push_p20_nois,push_p30_is,push_p30_nois
1,-505,-505,-505,-505,-505,-505,-505
2,-505,-505,-505,-505,-505,-505,-505
3,-505,-505,-505,-505,-505,-505,-505
4,-505,-505,-505,-505,-505,-505,-505
5,-505,-505,-505,-505,-505,-505,-505
6,-505,-505,-505,-505,-505,-505,-505
7,-505,-505,-505,-505,-505,-505,-505
8,-505,-505,-505,-505,-505,-505,-505
9,-505,-505,-505,-505,-505,-505,-505
10,-505,-505,-505,-505,-505,-505,-505
11,-505,-505,-505,-505,-505,-505,-505
12,-505,-505,-505,-505,-505,-505,-505
13,-505,-505,-505,-505,-505,-505,-505
14,-505,-505,-505,-505,-293,-505,-505
15,-505,-505,-505,-505,-505,-505,-505
16,-505,-505,-505,-505,-505,-505,-505
17,-89,-505,-505,-505,-505,-505,-505
18,-505,-505,-505,-505,-505,-505,-505
19,-505,-505,-505,-505,-505,-505,-505
20,-150,-505,-505,-505,-505,-505,-505
21,-505,-505,-505,-505,-505,-505,-505
22,-505,-505,-505,-505,-505,-505,-505
23,-505,-505,-505,-505,-505,-505,-505
24,-505,-505,-505,-505,-505,-505,-505
25,-505,-505,-505,-505,-505,-505,-505
26,-505,-505,-505,-505,-505,-505,-505
27,-505,-505,-505,-505,-505,-505,-505
28,-505,-505,-505,-505,-78,-505,-505
29,-505,-505,-505,-505,-505,-505,-505
30,-505,-505,-505,-505,-505,-505,-505
31,-505,-505,-505,-505,-505,-505,-505
32,-505,-505,-505,-505,-505,-505,-505
33,-505,-505,-505,-505,-505,-505,-505
34,-505,-505,-505,-505,-505,-505,-505
35,-505,-505,-505,-505,-505,-505,-505
36,-505,-505,-505,-505,-505,-505,-505
37,-505,-505,-505,-505,-505,-505,-505
38,-505,-505,-505,-505,-505,-505,-505
39,-505,-505,-505,-505,-505,-505,-505
40,-505,-505,-505,-505,-505,-505,-505
41,-505,-505,-505,-505,-505,-505,-505
42,-505,-505,-505,-505,-505,-505,-505
43,-505,-505,-505,-505,-505,-116,-505
44,-505,-505,-505,-505,-505,-505,-505
45,-505,-505,-505,-505,-505,-505,-505
46,-505,-505,-505,-146,-505,-505,-505
47,-505,-505,-505,-505,-505,-505,-505
48,-505,-505,-505,-505,-505,-505,-505
49,-505,-505,-505,-505,-505,-505,-505
50,-505,-505,-505,-505,-505,-505,-505
51,-505,-505,-505,-505,-505,-505,-505
52,-505,-505,-505,-505,-505,-505,-505
53,-505,-505,-426,-505,-505,-505,-505
54,-505,-505,-505,-505,-505,-505,-505
55,-505,-505,-505,-505,-505,-505,-505
56,-505,-505,-505,-505,-505,-505,-505
57,-505,-505,-505,-505,-505,-505,-505
58,-505,-505,-505,-505,-505,-505,-505
59,-505,-505,-505,-505,-505,-505,-505
60,-505,-505,-505,-505,-505,-505,-505
61,-505,-505,-505,-505,-505,-505,-505
62,-505,-505,-505,-505,-505,-505,-505
63,-505,-505,-505,-505,-505,-505,-505
64,-505,-505,-505,-505,-505,-505,-505
65,-505,-505,-505,-505,-505,-505,-505
66,-505,-505,-129,-505,-505,-505,-505
67,-505,-505,-505,-505,-505,-505,-505
68,-505,-505,-505,-505,-505,-505,-505
69,-505,-505,-505,-505,-505,-505,-505
70,-505,-505,-505,-505,-505,-505,-505
71,-505,-505,-505,-505,-505,-505,-505
72,-505,-505,-505,-505,-505,-505,-505
73,-505,-505,-505,-505,-505,-505,-505
74,-505,-29,-505,-505,-505,-505,-505
75,-505,-505,-505,-505,-505,-505,-505
76,-505,-505,-505,-505,-505,-505,-505
77,-505,-505,-505,-505,-505,-505,-505
78,-505,-505,-505,-505,-505,-505,-505
79,-505,-505,-505,-505,-505,-505,-505
80,-505,-505,-505,-505,-505,-505,-505
81,-505,-505,-505,-505,-505,-505,-505
82,-505,-505,-505,-505,-505,-505,-505
83,-505,-505,-505,-505,-505,-505,-505
84,-505,-505,-505,-186,-505,-505,-505
85,-505,-505,-505,-505,-505,-505,-505
86,-505,-505,-505,-505,-505,-505,-505
87,-505,-505,-505,-505,-505,-505,-505
88,-505,-505,-505,-505,-505,-505,-505
89,-505,-505,-505,-505,-505,-505,-505
90,-505,-505,-505,-505,-505,-505,-505
91,-505,-505,-505,-505,-505,-505,-505
92,-505,-505,-505,-505,-505,-505,-505
93,-505,-505,-505,-505,-505,-505,-505
