alpha,n,max_learning_steps,mean_penalty_last_window,normalized_cost
1.0,1,500,-378.0,0.756
0.0,1,500,-502.0,1.004
0.3,1,500,-448.93,0.89786
0.9,1,500,-366.39,0.73278
0.8,1,500,-362.29,0.72458
0.1,1,500,-484.99,0.96998
0.6,1,500,-417.26,0.83452
0.7,1,500,-367.03,0.73406
0.4,1,500,-447.64,0.89528
0.5,1,500,-425.54,0.85108
0.2,1,500,-468.29,0.93658
0.2,2,500,-434.75,0.8695
0.9,2,500,-265.29,0.53058
0.8,2,500,-262.38,0.52476
0.6,2,500,-272.91,0.54582
1.0,2,500,-299.45,0.5989
0.7,2,500,-271.58,0.54316
0.4,2,500,-386.06,0.77212
0.3,2,500,-405.83,0.81166
0.0,2,500,-500.51,1.00102
0.1,2,500,-467.71,0.93542
0.5,2,500,-320.56,0.64112
0.3,4,500,-306.54,0.61308
0.4,4,500,-272.8,0.5456
0.0,4,500,-505.0,1.01
0.8,4,500,-337.92,0.67584
0.5,4,500,-228.31,0.45662
0.2,4,500,-373.84,0.74768
0.6,4,500,-265.46,0.53092
1.0,4,500,-346.0,0.692
0.7,4,500,-328.0,0.656
0.1,4,500,-479.97,0.95994
0.9,4,500,-412.72,0.82544
0.0,8,500,-509.0,1.018
0.2,8,500,-505.31,1.01062
0.6,8,500,-505.18,1.01036
0.4,8,500,-509.0,1.018
0.5,8,500,-505.3,1.0106
0.8,8,500,-508.72,1.01744
0.1,8,500,-509.0,1.018
0.3,8,500,-504.85,1.0097
0.9,8,500,-509.0,1.018
1.0,8,500,-509.0,1.018
0.7,8,500,-509.0,1.018
0.0,16,500,-517.0,1.034
0.2,16,500,-511.94,1.02388
0.5,16,500,-517.0,1.034
0.1,16,500,-517.0,1.034
0.4,16,500,-515.01,1.03002
0.6,16,500,-514.99,1.02998
0.3,16,500,-517.0,1.034
0.8,16,500,-517.0,1.034
0.9,16,500,-517.0,1.034
1.0,16,500,-517.0,1.034
0.7,16,500,-517.0,1.034
0.0,32,500,-524.17,1.04834
0.6,32,500,-533.0,1.066
0.4,32,500,-531.86,1.06372
1.0,32,500,-533.0,1.066
0.5,32,500,-533.0,1.066
0.8,32,500,-533.0,1.066
0.2,32,500,-533.0,1.066
0.3,32,500,-533.0,1.066
0.9,32,500,-533.0,1.066
0.1,32,500,-533.0,1.066
0.7,32,500,-529.25,1.0585
0.1,64,500,-565.0,1.13
0.2,64,500,-559.86,1.11972
0.3,64,500,-565.0,1.13
0.0,64,500,-565.0,1.13
0.4,64,500,-563.59,1.12718
0.5,64,500,-556.85,1.1137
0.6,64,500,-565.0,1.13
0.9,64,500,-563.02,1.12604
1.0,64,500,-565.0,1.13
0.8,64,500,-565.0,1.13
0.7,64,500,-565.0,1.13
0.2,128,500,-629.0,1.258
0.4,128,500,-624.28,1.24856
0.1,128,500,-629.0,1.258
0.0,128,500,-623.02,1.24604
0.3,128,500,-629.0,1.258
0.5,128,500,-623.9,1.2478
0.6,128,500,-629.0,1.258
0.7,128,500,-623.61,1.24722
0.9,128,500,-625.38,1.25076
0.8,128,500,-629.0,1.258
1.0,128,500,-629.0,1.258
