alpha,n,max_learning_steps,mean_penalty_last_window,normalized_cost
0.2,1,500,-480.88,0.96176
0.7,1,500,-476.21,0.95242
0.6,1,500,-490.39,0.98078
0.1,1,500,-499.85,0.9997
0.5,1,500,-492.0,0.984
0.4,1,500,-487.94,0.97588
0.3,1,500,-487.32,0.97464
0.0,1,500,-500.24,1.00048
0.9,1,500,-475.72,0.95144
0.8,1,500,-492.37,0.98474
1.0,1,500,-479.54,0.95908
0.2,2,500,-494.73,0.98946
0.3,2,500,-481.5,0.963
0.4,2,500,-476.99,0.95398
0.1,2,500,-494.42,0.98884
0.0,2,500,-503.0,1.006
0.7,2,500,-437.4,0.8748
0.5,2,500,-453.76,0.90752
0.6,2,500,-439.21,0.87842
0.8,2,500,-439.08,0.87816
1.0,2,500,-415.47,0.83094
0.9,2,500,-437.17,0.87434
