time_limit_s,c_coefficient,red_wins_mean,red_wins_std,win_rate_mean,run1,run2,run3,run4,run5
0.2,1.0,98.8,1.3038404810405297,0.988,100,99,97,100,98
0.2,0.9,99.2,0.4472135954999579,0.992,100,99,99,99,99
0.2,0.8,99.2,0.8366600265340756,0.992,99,99,98,100,100
0.2,0.75,99.2,0.8366600265340756,0.992,99,100,98,100,99
0.2,0.7,98.8,1.0954451150103321,0.988,99,99,97,100,99
0.2,0.6,99.4,0.5477225575051661,0.9940000000000001,99,99,100,100,99
0.2,0.5,99.2,0.8366600265340756,0.992,99,100,100,99,98
0.2,0.4,99.6,0.8944271909999159,0.996,100,98,100,100,100
0.2,0.3,99.4,0.8944271909999159,0.9940000000000001,100,100,100,99,98
0.2,0.25,98.4,1.51657508881031,0.9840000000000001,100,99,96,99,98
0.2,0.2,99.8,0.4472135954999579,0.998,100,100,100,100,99
0.2,0.1,98.8,1.6431676725154982,0.988,100,96,99,99,100
0.2,0.0,96.8,1.0954451150103321,0.968,96,96,98,96,98
0.1,1.0,98.2,0.4472135954999579,0.982,98,98,98,98,99
0.1,0.9,99.8,0.4472135954999579,0.998,100,100,100,99,100
0.1,0.8,99.8,0.4472135954999579,0.998,100,100,99,100,100
0.1,0.75,99.2,0.8366600265340756,0.992,100,99,98,99,100
0.1,0.7,98.6,0.8944271909999159,0.986,98,98,99,100,98
0.1,0.6,99.2,1.3038404810405297,0.992,97,100,100,99,100
0.1,0.5,99.4,0.8944271909999159,0.9940000000000001,100,98,99,100,100
0.1,0.4,98.8,1.6431676725154982,0.988,100,96,100,99,99
0.1,0.3,98.8,0.4472135954999579,0.988,99,98,99,99,99
0.1,0.25,99.6,0.8944271909999159,0.996,100,100,98,100,100
0.1,0.2,98.8,0.8366600265340756,0.988,100,98,99,98,99
0.1,0.1,98.6,0.5477225575051661,0.986,99,98,99,99,98
0.1,0.0,96.6,0.8944271909999159,0.966,97,96,98,96,96
0.05,1.0,97.2,2.04939015319192,0.972,99,95,99,95,98
0.05,0.9,98.2,1.7888543819998317,0.982,97,100,100,98,96
0.05,0.8,98.6,1.3416407864998738,0.986,100,98,100,97,98
0.05,0.75,98.2,1.4832396974191324,0.982,96,99,98,100,98
0.05,0.7,97.8,1.9235384061671343,0.978,98,95,97,100,99
0.05,0.6,98.8,1.0954451150103321,0.988,100,98,100,98,98
0.05,0.5,98.0,1.4142135623730951,0.98,96,98,98,98,100
0.05,0.4,98.4,0.5477225575051661,0.9840000000000001,99,98,98,99,98
0.05,0.3,98.2,1.0954451150103321,0.982,99,99,97,97,99
0.05,0.25,98.6,1.140175425099138,0.986,99,100,98,97,99
0.05,0.2,97.4,2.073644135332772,0.9740000000000001,98,97,94,99,99
0.05,0.1,97.0,1.4142135623730951,0.97,99,98,96,96,96
0.05,0.0,95.4,0.5477225575051661,0.9540000000000001,95,96,96,95,95
0.025,1.0,94.8,1.9235384061671343,0.948,92,96,97,95,94
0.025,0.9,96.6,2.701851217221259,0.966,95,95,94,100,99
0.025,0.8,96.8,0.8366600265340756,0.968,98,97,97,96,96
