#{"t_start": 1780071294.168996, "env_id": "CrafterReward-v1"}
r,l,t
3.1,153,7.414484
2.1,143,9.59118
0.1,204,12.664281
0.1,154,15.465177
0.1,144,17.708525
2.1,187,20.333569
0.1,183,22.956075
0.1,148,24.387031
0.1,198,25.939967
0.1,144,27.49301
0.1,158,29.023464
0.1,125,30.388814
2.1,172,47.943791
3.1,165,51.743498
2.1,212,55.103982
4.1,200,58.144487
2.1,155,60.881371
1.1,189,63.903938
0.1,158,19352.670017
1.1,79,19370.924791
2.1,175,19391.884542
3.1,174,19411.26918
3.1,267,19426.753948
2.1,169,19439.671804
